RID,NAME,SCIENTNAME
1096,Greater galanga,Alpinia galanga (L.) Willd.
1503,Lesser galanga,Alpinia officinarum Hance
1382,White cheesewood,Alstonia scholaris (L)R.Br.
1410,Rasamala,Altingia excelsa Norona
978,Alyce clover,Alysicarpus vaginalis L. DC
1610,Inca wheat,Amaranthus caudatus L.
1611,Spanish greens,Amaranthus cruentus L.
1624,Amaranth,Amaranthus dubius L.
1612,Princess feather,Amaranthus hypochondriacus
1613,Livid amaranth,Amaranthus lividus L.
1553,Amaranthus,Amaranthus spp.
1614,Chinese amarath,Amaranthus tricolor L.
1364,Fibra,Ammandra natalia
76,European beachgrass,Ammophila arenaria (L.)Link
77,American beachgrass,Ammophilla breviligulata F.
889,Elephant yam,Amorphophallus campanulatus
261,Cashew,Anacardium occidentale L.
774,Pineapple,Ananas comosus (L) Merr.
796,Gamba grass,Andropogon gayanus Kunth
135,Big bluestem,Andropogon gerardii Vitman
134,Sand bluestem,Andropogon hallii Hack.
56,Dill,Anethum graveolens L.
136,Garden angelica,Angelica archangelica L.
609,Smooth-barked apple,Angophora costata (Gaertn.)
610,Rough-barked apple,Angophora floribunda (Smi.)
1411,Boilam,Anisoptera scaphula (Roxb.)
1601,Atemoya,Annona atemoya Hort
403,Cherimoya,Annona cherimolia Miller
920,Ilama,Annona diversifolia Saff.
921,Mountain soursop,Annona montana Macfad.
1595,Soursop,Annona muricata L.
404,Bullock's heart,Annona reticulata L.
1519,Poshte,Annona scleroderma Saff.
919,Sugar apple,Annona squamosa L.
1358,Chakwa,Anogeissus acuminata Wall.
1464,Axlewood,Anogeissus latifolia (Roxb)
1222,Axle-wood tree,Anogeissus latifolia Roxb.
1223,Kardhai,Anogeissus pendula Edgew.
109,Chamomile,Anthemis nobilis (L.) All.
942,Wool grass,Anthephora pubescens Nees
829,Kadam,Anthocephalus chinensis Lam
1412,Samama,Anthocephalus macrophyllus
1541,Carbage tree,Anthocleista nobilis G. Don
110,Chervil,Anthriscus cerefolium L.
467,Kidney vetch,Anthyllis vulneraria L.
1529,Bignay,Antidesma bunius (L.) Spre.
41,Celery,Apium graveolens L. v dulce
1574,Celeriac,Apium graveolens L. v rapac
1316,Rhizoma peanut,Arachis glabrata Benth.
247,Groundnut,Arachis hypogaea L.
1317,Pinto peanut,Arachis pintoi Krap.& Greg.
830,Parana pine,Araucaria angustifolia Ber.
584,Bunya pine,Araucaria bidwillii Hook.
831,Hoop pine,Araucaria cunninghamii Ait.
832,Klinkii pine,Araucaria hunsteinii K.Sch.
1490,Jengkol,Archidendron jiringa (Jack)
591,Bangalow palm,Archontophoenix cunningham.
15,Betel palm,Areca catechu L.
1038,Sugar palm,Arenga pinnata (Wurmb.)Merr
241,Argan,Argania spinosa (L.) Skeels
661,Blush tulip oak  (act),Argyrodendron actinophyllum
1393,Blush tulip oak  (div),Argyrodendron actinophyllum
1394,Red tulip oak,Argyrodendron peralatum Ba.
1254,Six-weeks three-awn,Aristida adscensionis L.
1006,Nissi,Aristida ciliata Desf.
1010,Shafshoof ain seela,Aristida lanata Forssk.
911,Feathertop wire grass,Aristida latifolia Domin
1007,Triple awned grass,Aristida obtusa Del.
1635,Aristida pennata,Aristida pennata Trin.
1631,Soliane,Aristida plumosa L.
1009,Drin,Aristida pungens Desf.
1008,Nussi,Aristida raddiana Savi.
1575,Horseradish,Armoracia rusticana P.Gaer.
902,Peruvian carrot,Arracacia xanthorrhiza Ban.
102,Meadow oat grass,Arrhenatherum elatius (L.)
468,Southernwood,Artemisia abrotanum L.
1542,"Wormwood, African",Artemisia afra Jacq.
114,Tarragon,Artemisia dracunculus L.
937,Breadfruit,Artocarpus altilis (Park.)
1250,Chaplash,Artocarpus chaplasha Roxb.
48,Jackfruit,Artocarpus heterophyllus L.
1530,Ranphannas,Artocarpus hirsuta Lam.
1531,Chempedak,Artocarpus integer (Thunb.)
1251,Monkey jack,Artocarpus lakoocha Roxb.
1318,Bamboo grass,Arundinaria pusilla A. Che.
671,Arundinella hirta,Arundinella hirta (Thunb) K
477,Custard banana,Asiminia triloba (L.) Dunal
1307,Springer asparagus,Asparagus densiflorus cv S.
1565,Asparagus,Asparagus officinalis L.
155,Cicer milkvetch,Astragalus cicer L.
1173,Gum tragacanth,Astragalus gummifer Labill.
476,Hoop mitchell grass,Astrebla elymoides F. Muell
475,Curly mitchell grass,Astrebla lappacea (Lindl.)
474,Barley mitchell grass,Astrebla pectinata (Lindl.)
279,Bull mitchell grass,Astrebla squarrosa C.E.Hubb
1226,Jauari,Astrocaryum jauari
1319,Rumbut bunga putih,Asystasia gangetica (L.)T.A
705,White wood,Atalaya hemiglauca (F. Mu.)
1386,Southern sassafras,Atherosperma moschatum Lab.
177,King William pine,Athrotaxis selaginoides Don
461,Fourwing saltbush,Atriplex canescens (Pursh.)
1083,Shadscale,Atriplex confertifolia (T.)
568,Gardner saltbush,Atriplex gardneri
1079,Guettafia,Atriplex glauca L.
1080,Mediterranean sal,Atriplex halimus L.
1081,Garden oarch,Atriplex hortensis L.
1082,Quail bush,Atriplex lentiformis (Tor.)
1084,Old man saltbush,Atriplex nummularia Lindl.
1078,Bladder saltbush,Atriplex vesicaria Heward
1237,Bahia piassava palm,Attalea funifera Mart.
1177,Gaboon,Aucoumea klaineana Pierre
730,Jew's ear,Auricularia spp.
120,Red oat,Avena byzantina K. Koch
234,Wild oat,Avena fatau L.
224,Oats,Avena sativa L.
397,Sterile oat,Avena sterilis L.
939,Bilimbi,Averrhoa bilimbi L.
409,Carambola,Averrhoa carambola L.
1465,Black mangrove,Avicennia germinans (L.) L.
1466,Grey mangrove,Avicennia marina (Forsk.) V
1272,White mangrove,Avicennia officinalis L.
280,Carpet grass,Axonopus affinis Chase
281,Tropical carpet grass,Axonopus compressus (Sw.) B
511,Imperial,Axonopus scoparius (Flugge)
833,Neem,Azadirachta indica A. Juss.
1532,Rambai,Baccaurea motleyana (Muel.)
1534,Burmese grape,Baccaurea ramiflora Lour.
1533,Kapundung,Baccaurea recamosa (Reinw.)
1690,Peach palm,Bactris gasipaes H.B.K.
1100,Desert date,Balanites aegyptiaca (L)Del
1058,Thorny bamboo,Bambusa arundinacea Willd.
1059,Barobans,Bambusa balcooa Roxb.
1060,Taru,Bambusa longispiculata Gam.
1061,Bamboo nutans,Bambusa nutans Wall.
1062,Kyathaungwa,Bambusa polymorpha Munro.
1063,Tulda,Bambusa tulda Roxb.
1064,Bariala,Bambusa vulgaris Schrad.
659,White honysuckle,Banksia integrifolia L. f.
1101,Camwood,Baphia nitida Lodd.
1686,Ceylon spinach,Basella alba L.
1241,Kat illipi,Bassia latifolia Roxb.
1095,Camel's foot,Bauhinia esculenta Burchell
1208,Bauhinia,Bauhinia racemosa L.
79,Sloughgrass,Beckmannia syzigachne (St.)
1560,Wax gourd,Benincasa hispida (T.) Cogn
1143,Trincomalee wood,Berrya cordifolia (Willd.)
451,Brazil nut,Bertholletia excelsa H.& B.
53,Swiss chard,Beta vulgaris L. v cicla
52,Garden beet,Beta vulgaris L. v crassa
1,Spinach beet,Beta vulgaris L. v flavesc.
213,Sugar beet,Beta vulgaris L. v vulgaris
1033,Annato,Bixa orellana L.
786,Akee,Blighia sapida Koenig
264,Ramie,Boehmeria nivea (L.) Gaud.
834,Pochote,Bombacopsis quinata (Jacq.)
1136,Red silk cotton tree,Bombax ceiba L.
1137,Semul,Bombax insigne Wall.
443,Borage,Borago officinalis L.
1230,Palmyra palm,Borassus flabellifer L.
1150,Indian olibanum tree,Boswellia serrata Roxb.
910,Australian bluestem,Bothriochloa bladhii (Ret.)
941,Sweet-pitted grass,Bothriochloa insculpta (A.)
282,Yellow  bluestem,Bothriochloa ischaemum (L.)
283,Seymour grass,Bothriochloa pertusa (L.) C
530,Side-oats grama,Bouteloua curtipendula (M.)
1693,Blue grama,Bouteloua gracilis (Willd.)
284,Signal grass,Brachiaria brizantha (A.R.)
797,Surinam grass,Brachiaria decumbens Stapf
912,Brachiaria dura,Brachiaria dura Stapf
1011,Koronivia grass,Brachiaria humidicola (R) S
798,Para grass,Brachiaria mutica (For.) St
1255,Tanner grass,Brachiaria radicans Napper
907,Browntop millet,Brachiaria ramosa (L.)Stapf
913,Kennedy ruzi grass,Brachiaria ruziziensis G&E
914,Cori grass,Brachiaria supquadripara T.
548,Flame tree,Brachychiton acerifolius F.
835,Kurrajong,Brachychiton populneus (S.)
1618,Bird rape,Brassica campestris L.
221,Chinese cabbage,Brassica chinensis L.
222,Leaf mustard,Brassica juncea (L.) Czern.
220,Swede rap,Brassica napus L.
384,Rutabaga,Brassica napus L. Napobras.
138,Black mustard,Brassica nigra L.
275,Collards,Brassica oleracea L.v acep.
274,Cauliflower,Brassica oleracea L.v botr.
225,Cabbage,Brassica oleracea L.v capi.
273,Brussels sprouts,Brassica oleracea L.v gemm.
276,Kohlrabi,Brassica oleracea L.v gong.
1568,Sprouting broccoli,Brassica oleracea L.v ital.
724,Caisin,Brassica rapa L. Gaisin gr.
725,Pak choi,Brassica rapa L. Pak Choi
266,Turnip rap,Brassica rapa L. v rapifera
399,Mountain brome,Bromus carinatus Hook.&Arn.
18,Brome grass,Bromus inermis Leyss.
400,Mountain bromegrass,Bromus marginatus Nees.
103,Russian brome grass,Bromus tomentellus Boiss.
908,Rescue grass,Bromus unioloides Kunth
1281,Burma mangrove,Bruguiera gymnorrhiza (L.)
1093,Cuddapah Almond,Buchanania latifolia Roxb.
78,Buffalo grass,Buchloe dactyloides (Nutt.)
1443,Spotted silky oak,Buckinghamia celsissima F.M
562,Gumbo limbo,Bursera simaruba Sarg.
1524,Flame-of-the-forest,Butea monosperma (Lamk) Ta.
836,Shea butter tree,Butyrospermum paradoxum (G)
1158,Divi-divi,Caesalpinia coriaria (Jacq)
1174,Sappanwood,Caesalpinia sappan L.
1653,Pigeon Pea,Cajanus cajan (L.) Mill ssp
179,Calamagrostris epigei.,Calamagrostris epigeios L.
1047,Rotan sega,Calamus caesius Blume
1279,Letek,Calamus erinaceus (Becc.) D
1266,Rattan,Calamus peregrinus
1308,Cornroot,Calathea allouia (Aubl.) L.
165,Calendula,Calendula officinalis L.
837,Calliandra,Calliandra calothyrsus Mei.
300,Cypress pine,Callitris columellaris F.M.
706,Black cypress pine,Callitris endlicheri (Par.)
1178,White cypress pine,Callitris glauca R.Br ex R.
585,Brush cypress pine,Callitris macleayana (F.Mu)
587,Murray pine,Callitris preissii Miq. mur
586,Rottnes Island pine,Callitris preissii Miq. pre
588,Mallee pine,Callitris preissii Miq. ver
1117,Poon,Calophyllum apetalum Willd.
1118,Poonspar tree,Calophyllum elatum Bedd.
1119,Alexandrian laurel,Calophyllum inophyllum L.
1420,Baula,Calophyllum peekelii Laute.
1320,Caeruleum calopo,Calopogonium caeruleum B.S.
292,Calopo,Calopogonium mucunoides Ds.
166,Cowslip,Caltha palustris L.
1548,Tea,Camellia sinensis (L) O.K.
1419,Assam tea,Camellia sinensis v assam.
209,China tea,Camellia sinensis v sinens.
531,Rampion,Campanula rapunculus L.
1179,Ketekete,Campnosperma brevipetiolata
1036,Ylang-ylang,Cananga odorata (Lam.) Ho.
1309,Java-almond,Canarium indicum L.
1485,Pili nut,Canarium ovatum Engl.
789,Jack bean,Canavalia ensiformis (L) DC
792,Sword bean,Canavalia gladiata (Jacq)DC
478,Edible canna,Canna edulis Ker-Gawler
1555,Hemp,Cannabis sativa L.
469,Kurrel,Capparis decidua (Forsk.)
150,Caper,Capparis spinosa
1647,Sweet pepper,Capsicum annuum L.
438,Pimentchien,Capsicum baccatum L.v pend.
439,Aji,Capsicum chinense Jacq
1692,Hot pepper,Capsicum frutescens L.
440,Goat chili,Capsicum pubescens Ru.& Pa.
202,Caragana intermedia,Caragana intermedia
203,Caragana korshinskii,Caragana korshinskii
201,Caragana microphylla,Caragana microphylla Lam.
1215,Shengali,Carallia lucida Roxb.
1387,Northern silky oak,Cardwellia sublimis F.Muell
260,Papaya,Carica papaya L.
405,Mountain papaya,Carica pubescens Lenne & K.
838,Abarco,Cariniaria pyriformis Miers
1310,Karanda,Carissa carandas L.
1311,Egyptian carissa,Carissa edulis Vahl.
410,Natal-palm,Carissa macrocarpa (Eckl.)
1479,Panama hat palm,Carludovica palmata Ruiz
254,Safflower,Carthamus tinctoius L.
532,Caraway,Carum carvi L.
1558,Pecan nut,Carya illinoensis Wangenh.
376,Souari nut,Caryocar nuciferum L.
1544,Cacay,Caryodendron orinocense
1229,Fish-tail palm,Caryota urens L.
940,Mexican apple,Casimiroa edulis La Llave
1159,Ringworm bush,Cassia alata L.
1160,Avaram,Cassia auriculata L.
1444,Brewster cassia,Cassia brewsteri (F.Muell.)
1207,Indian laburnum,Cassia fistula L.
1161,Coffee senna,Cassia occidentalis L.
981,Roundleaf cassia,Cassia rotundifolia Persoon
980,Alexandrian senna,Cassia senna L.
839,Yellow cassia,Cassia siamea Lam.
14,"Chestnut, Japanese",Castanea crenata Si. & Zu.
13,"Chestnut, American",Castanea dentata Borkh.
12,"Chestnut, Chinese",Castanea mollisima L.
11,Chinquapin,Castanea pumila
10,"Chestnut, European",Castanea sativa Mill.
657,Black bean,Castanospermum australe Cu.
1252,Panama rubber,Castilla elastica Cerv.
718,Casuarina campestris,Casuarina campestris (Diel)
572,Casuarina campestris,Casuarina campestris Miq.
1633,Black oak,Casuarina cristata Miq. cr.
1634,Black oak,Casuarina cristata Miq. pa.
435,River sheoak,Casuarina cunninghamiana M.
301,Desert sheoak,Casuarina decaisneana F.Meu
1094,Diels' sheoak,Casuarina dielsiana C.A.Gar
840,Coast sheoak,Casuarina equisetifolia L.
565,West Australian sheoak,Casuarina fraseriana Miq.
302,Swamp sheoak,Casuarina glauca Sieber ex
573,Rock sheoak,Casuarina huegeliana Miq.
549,Jemara,Casuarina junghuhniana Miq.
574,Black sheoak,Casuarina littoralis Salisb
575,Bull oak,Casuarina luehmannii R.T.B
577,W.Austral.swamp sheoak,Casuarina obesa Miq.
1366,Soft yar,Casuarina oligodon L.Johns.
434,Drooping sheoak,Casuarina stricta Aiton
576,Forest sheoak,Casuarina torulosa Aiton
1030,Qat,Catha edulis (Vahl) Endl.
551,Periwinkle,Catharanthus roseus (L.) G.
841,West Indian cedar,Cedrela odorata L.
1414,Red cedar,Cedrela toona Roxb.
1236,Himalayan cedar,Cedrus deodara Loudon
450,Kapok,Ceiba pentandra (L.) Gaertn
1632,Cock's comb,Celosia argentea L.
1301,Nettle tree,Celtris australis L.
917,Haskaneit,Cenchrus biflorus Roxb.
285,Buffel grass,Cenchrus ciliaris L.
401,White buffel grass,Cenchrus pennisetiformis H.
918,Birdwood grass,Cenchrus setigerus Vahl
1321,Centrosema,Centrosema acutifolium Ben.
1322,Centrosema,Centrosema macrocarpum Ben.
982,Centurion,Centrosema pascuorum Benth.
809,Centro,Centrosema pubescens Benth.
983,Virginian centro,Centrosema virginianum L.B.
1075,Ipecac,Cephaelis ipecacuanha (St.)
779,Carob,Ceratonia siliqua L.
592,Coachwood,Ceratopetalum apetalum D.D.
1282,Goran,Ceriops decandra (Griff.)
1467,Tagal mangrove,Ceriops tagal (Perr.)C.B.R.
1483,Pacaya,Chamaedorea spp
720,Dwarf fan palm,Chamaerops humilis L.
121,Fat hen,Chenopodium album L.
1039,Wormseed,Chenopodium ambrosioides L.
454,Canihua,Chenopodium pallidicaule H.
1621,Quinoa,Chenopodium quinoa Willden.
1679,Rhodes grass,Chloris gayana Kunth
765,Horsetail grass,Chloris roxburghiana Schult
286,Feather finger grass,Chloris virgata Sw.
842,African oak,Chlorophora excelsa (Welw.)
1190,East Indian satinwood,Chloroxylon swietenia DC.
235,Pyrethrum,Chrysanthemum cinerariaefo.
533,Persian insect flower,Chrysanthemum coccineum W.
726,Garland chrysanthemum,Chrysanthemum coronarium L.
480,Starapple,Chrysophyllum cainito L.
1323,Love grass,Chrysopogon aciculatus (R.)
909,Aucher's grass,Chrysopogon plumulosus Hoch
1191,Chickrassy,Chukrasia velutina Wt.& Arn
1650,Chick pea,Cicer arietinum L.
1570,Endive,Cichorium endivia L.
1569,Chicory,Cichorium intybus L.
470,Quinine (calisaya),Cinchona calisaya Wedd.
471,Yellow quinine,Cinchona ledgeriana Moens
456,Quinine,Cinchona officinalis L.
472,Red quinine,Cinchona pubescens Vahl
1017,Indonesian cassia,Cinnamomum burmannii (C.G)
1246,Formosa camphor tree,Cinnamomum camphora (L.) P.
1304,Chinese cassia,Cinnamomum cassia Presl.
1018,Saigon cassia,Cinnamomum loureirii Nees
1016,Cinnamon,Cinnamomum verum Presl.
755,Calamondin,Citrofortunella (x) microc.
1288,Colocynth,Citrullus colocynthis (L.)
255,Watermelon,Citrullus lanatus (T) Mansf
1669,Lime,Citrus aurantifolia (Chri.)
1606,Sour orange,Citrus aurantium L.
1023,Bergamot,Citrus aurantium v bergamia
1600,Mediterranea mandarin,Citrus deliciosa Ten.
1593,Tahiti lime,Citrus latifolia Tan.
1668,Lemon,Citrus limon (L.) Burm. f.
1367,Philippine lime,Citrus madurensis Lour.
1671,Pummelo,Citrus maxima (Burm.) Merr.
457,Citron,Citrus medica L.
1670,Grapefruit,Citrus paradisi Macfad.Hook
1672,Mandarin,Citrus reticulata Blanco x
245,Sweet orange,Citrus sinensis (L.) Osbeck
1645,Citrus,Citrus spp
1605,Satsuma mandarin,Citrus unshiu Marcovitch
1486,Wampee,Clausena lansium (Lour.) S.
550,Ergot,Claviceps purpurea (Fr.)Tul
178,Cleistogenes chinensi.,Cleistogenes chinensis (M.)
180,Cleistogenes squarrosa,Cleistogenes squarrosa (T.)
843,Ovok,Cleistopholis glauca Pierre
1489,Bastard mustard,Cleome gynandra L.
181,Clinelymus dahuricus,Clinelymus dahuricus (Tur.)
1162,Laurelleaved clitoria,Clitoria laurifolia Poir.
294,Butterfly pea,Clitoria ternatea L.
558,Blessed thistle,Cnicus benedictus L.
1481,Chaya,Cnidoscolus chayamansa McV.
1351,Seagrape,Coccoloba uvifera (L.) L.
1113,Butter-cup tree,Cochlospermum religiosum L.
242,Coconut,Cocos nucifera L.
1640,Coffee arabica,Coffea arabica L.
1641,Coffee robusta,Coffea canephora Pierre
1710,Coffee excelsa,Coffea excelsa L.
1053,Coffee liberica,Coffea liberica Bull ex He.
799,Job`s tears,Coix lacryma-jobi L.
1067,Abata kola,Cola acuminata (Beauv.) Sc.
885,"Cola-nut, commercial",Cola nitida (Vert.) Schott
167,Colchicum,Colchicum autumnale L.
899,Indian borage,Coleus amboinicus Lour.
900,Sudan potato,Coleus parviflorus Benth.
1551,Cocoyam,Colocasia esculenta (L.) S.
1057,Eddoe,Colocasia esculenta v. ant.
844,Butterfly tree,Colophospermum mopane (Ki.)
1355,Kinkeliba,Combretum micranthum G. Don
1468,Button mangrove,Conocarpus erctus L.
845,Damas,Conocarpus lancifolius Engl
776,White Jute,Corchorus capsularis L.
780,Long-fruited Jute,Corchorus olitorius L.
1545,Yicib,Cordeauxia edulis
1283,Sudan teak,Cordia africana Lam.
846,Laurel,Cordia alliodora (Ruiz&Pa.)
390,Coriander,Coriandrum sativum L.
272,Crownvetch,Coronilla varia L.
370,European hazelnut,Corylus avellana L.
534,Turkish hazel,Corylus colurna L.
